Datetime,Open,Close,High,Low,Volume
1568091600000,179.18,183.18,184.25,178.79,8820305
1568178000000,183.77,184.33,186.27,182.6006,9037782
1568264400000,186.2,184.27,188.4,183.95,8196025
1568350800000,181.59,181.94,183.08,180.18,8114787
1568610000000,178.92,180.21,181.6,178.5,5795796
1568696400000,180.48,181.07,181.2356,178.61,5711828
1568782800000,180.79,179.98,181.42,176.5,6600942
1568869200000,180.22,176.94,180.96,176.5101,6408569
1568955600000,176.9,172.69,177.85,172.28,8931295
1569214800000,172.7,174.84,176.67,172.55,6395647
1569301200000,176.1,172.53,177.29,171.1,8031045
1569387600000,172.51,178.23,179.02,170.71,7827672
1569474000000,177.84,177.34,178.19,175.29,5945648
1569560400000,175.66,171.76,177.7,169.32,9148974
1569819600000,172.8,174.07,174.48,171.5401,4829977
1569906000000,175.0,174.0,181.0,173.81,9189150
1569992400000,173.12,173.04,173.6,170.13,7391544
1570078800000,173.22,181.31,181.56,172.0,11568265
1570165200000,181.4,181.97,183.15,178.78,6699005
1570424400000,184.58,184.33,188.34,184.23,12207839
1570510800000,180.64,177.23,180.64,176.5,11233566
1570597200000,180.32,180.71,182.7,179.1601,7697082
1570683600000,180.62,183.03,185.08,180.41,8187889
1570770000000,186.41,185.99,189.34,185.65,11271668
1571029200000,185.64,186.53,187.37,184.385,5258394
1571115600000,190.16,196.37,199.29,189.6,16699633
1571202000000,195.0,194.21,199.22,193.75,10818828
1571288400000,196.0,194.29,197.8143,192.1,6607924
1571374800000,194.31,190.49,195.62,187.5,7690605
1571634000000,192.96,196.01,196.55,192.2,6674181
1571720400000,198.3,195.61,202.53,195.3,8434228
1571806800000,192.31,195.09,195.66,191.03,7144250
1571893200000,196.75,196.86,198.21,195.38,5975933
1571979600000,200.1,204.54,205.3804,199.79,10577288
1572238800000,206.3,206.79,208.9,205.1168,8269791
1572325200000,206.23,202.92,206.49,202.14,5280920
1572411600000,204.0,203.0,204.23,200.26,5149038
1572498000000,202.16,201.02,203.0,197.81,5243315
1572584400000,199.6,202.59,203.89,198.5925,7090956
1572847200000,205.85,210.5,211.0,204.9203,9417905
1572933600000,210.49,209.61,211.54,207.68,7521712
1573020000000,208.64,207.63,209.67,204.11,6725335
1573106400000,211.106,208.34,211.7,206.54,7008498
1573192800000,207.66,207.78,209.05,206.15,4735187
1573452000000,207.75,208.18,209.11,204.2801,6094736
1573538400000,209.72,209.61,211.86,208.31,7095971
1573624800000,208.35,208.57,209.46,205.9,7559124
1573711200000,208.93,209.79,209.88,206.516,13175171
1573797600000,209.7,204.19,211.7799,200.6377,26355409
1574056800000,203.89,212.28,213.35,203.77,14382963
1574143200000,211.032,207.99,211.98,205.65,10384506
1574229600000,207.07,211.18,214.55,206.5643,11825438
1574316000000,211.0,210.18,213.24,209.31,7209730
1574402400000,211.09,210.89,212.9633,209.94,5602470
1574661600000,216.04,221.21,221.41,215.52,12683686
1574748000000,220.5,217.0,220.6897,216.74,9642023
1574834400000,218.67,218.24,220.05,217.18,5410718
1575007200000,217.0,216.74,218.14,215.78,3538924
1575266400000,216.46,209.25,217.0,208.64,9346742
1575352800000,201.87,207.66,207.82,200.37,11853653
1575439200000,211.02,209.42,211.92,208.27,6840459
1575525600000,210.3,208.74,210.93,207.5083,4628444
1575612000000,211.52,212.17,213.49,211.12,5810457
1575871200000,211.25,212.17,214.37,210.9,5378320
1575957600000,213.38,213.98,216.06,211.26,6417228
1576044000000,214.4,217.34,217.56,214.3,5850247
1576130400000,216.18,224.07,224.8,215.82,10152084
1576216800000,224.19,223.99,228.98,221.82,11374183
1576476000000,225.9,225.15,228.0642,224.77,8032684
1576562400000,225.9,228.29,229.2,225.52,8081598
1576648800000,229.69,229.51,231.94,229.35,8606969
1576735200000,230.9,235.46,236.0,230.7,11327674
1576821600000,238.13,239.37,240.39,237.355,15084607
1577080800000,240.52,238.82,241.81,238.39,8884815
1577167200000,238.2,238.62,239.31,236.82,3471597
1577340000000,238.76,239.19,240.32,238.0,4580451
1577426400000,239.8,236.87,240.34,235.81,6370251
1577685600000,235.99,232.32,236.2,231.06,6456178
1577772000000,230.9,235.3,235.675,230.13,5780283
1577944800000,238.75,239.91,239.91,236.72,5941969
1578031200000,235.1,236.07,237.83,234.1,5144308
1578290400000,232.32,237.06,237.27,231.27,6572812
1578376800000,238.2,239.93,241.77,236.39,7980144
1578463200000,239.76,240.38,242.04,238.149,6931017
1578549600000,243.85,243.02,245.9297,240.855,6386053
1578636000000,247.33,244.32,248.55,243.75,7911560
1578895200000,247.66,251.98,252.9884,246.75,8008451
1578981600000,250.26,247.28,251.28,246.75,8989483
1579068000000,247.79,245.57,248.6891,244.53,6577636
1579154400000,247.72,248.93,249.17,246.775,7104791
1579240800000,249.7,249.28,250.0,247.37,6344764
1579586400000,247.805,247.94,249.29,246.5703,5447925
1579672800000,249.76,250.05,253.59,249.0,5980967
1579759200000,251.72,252.86,253.2,248.15,6112861
1579845600000,257.5,250.48,259.5,248.3,9337839
1580104800000,238.24,240.2,242.25,232.23,11763354
1580191200000,242.85,247.97,249.27,240.7143,7774401
1580277600000,247.39,245.54,248.84,243.94,6486279
1580364000000,241.61,245.81,246.35,239.4,7262590
1580450400000,243.97,236.43,244.45,234.75,9260493
1580709600000,235.7,240.33,241.1111,235.45,6398205
1580796000000,246.03,247.13,247.9,244.02,6788589
1580882400000,251.99,250.76,252.4,247.41,5205502
1580968800000,252.14,254.245,254.25,248.88,5457051
1581055200000,252.64,251.59,253.53,250.572,4743803
1581314400000,252.5,262.97,263.0,252.3,13240194
1581400800000,267.32,267.89,272.5,264.83,15963922
1581487200000,270.01,272.54,272.8,268.4474,9366118
1581573600000,270.21,270.78,273.48,269.11,13200384
1581660000000,287.26,289.79,294.97,286.0,26048093
1582005600000,285.6435,296.57,297.31,284.86,15547025
1582092000000,301.49,314.7,315.41,301.4856,17358281
1582178400000,312.765,308.7,316.32,296.35,20251259
