Time,Volume,Day Open,Day Close,Normalized Day Change,Normalized Volume to Moving Average,Normalized Open to Moving Average,Normalized Open (52wk High/Low),Normalized Yesterday Close to Today Open,Past First Derivative,Past Average Normalized Open to Close,Past Second Derivative,Buy
2019-08-23,12393032,0.5947,0.5508,-0.07381873213384908,0.7086488120338272,0.33615444697950714,0.4208739554317549,-0.03194144069206454,0.0001687500000000004,0.6087148901029434,-0.0014125000000000001,1
2019-08-26,9766895,0.57,0.5716,0.0028070175438597296,0.5570351961361383,0.3247591844176365,0.39937325905292476,-0.022699914015477194,-0.0013750000000000001,0.607279898898262,-0.0033375,0
2019-08-27,10321189,0.5882,0.581,-0.012240734444066618,0.5863881397186249,0.3375483420245016,0.41521587743732585,-0.03485838779956427,4.687499999999928e-05,0.6076194681273877,0.00010624999999999979,1
2019-08-28,12101550,0.5726,0.6381,0.11439049947607405,0.6820942557700354,0.33101034153637254,0.40163649025069637,-0.029041287613715796,-0.0016625000000000006,0.6063163314272362,0.00315,1
2019-08-29,36816040,0.683465,0.7256,0.061649096881332674,1.9473062177551939,0.39683401973602805,0.4981415389972145,0.014457831325301143,0.0008031249999999996,0.6177503572770967,0.00253125,0
2019-08-30,14630338,0.77,0.7441,-0.03363636363636368,0.765286904200674,0.44804585861582213,0.5734679665738162,-0.07109387243378779,0.006395624999999999,0.6144511907996514,0.003933124999999999,0
2019-09-03,6819241,0.7551,0.7097,-0.060124486822937355,0.35875871367760837,0.4404439413614017,0.5604979108635098,-0.06119073869900771,0.00829375,0.6081312825815769,7.437499999999892e-05,0
2019-09-04,7187358,0.7276,0.7195,-0.011132490379329295,0.3799411563704293,0.42566532144972336,0.5365598885793872,-0.014782959279666726,0.006678125,0.6025655409393472,0.00021812499999999827,1
2019-09-05,10033977,0.7436,0.7542,0.014254975793437255,0.529800459761618,0.4361156034784853,0.5504874651810585,-0.02522192475693959,0.0076656250000000006,0.6023127482910927,0.001918125,0
2019-09-06,7262921,0.7777,0.7694,-0.01067249582101064,0.38518044565163545,0.45687158445868914,0.5801706128133705,-0.03349548297428771,0.011009375,0.600799630174641,0.003405625,1
2019-09-09,11900179,0.79,0.8482,0.07367088607594927,0.6280620837752431,0.4647153487767126,0.5908774373259054,-0.03115884380800844,0.012671875,0.5961670914817592,-0.0006193750000000014,1
