Time,Previous Trend,Past 10 Days Day Open to Close Slope,Past 10 Days Overall Slope,Past 10 Days Second Derivative,Yesterday Close to Today Open,Open to Moving Average,Open to 52 Wk Average,Volume to Moving Average,Buy
2019-12-18,0,3.6022222222222555,2.8331249999999994,-0.4462499999999999,1,1,1,0,0
2019-12-19,0,1.3400000000000192,1.979375,-0.4675,1,1,1,1,1
2019-12-20,1,0.7788888888889132,1.1490625,-0.733125,1,1,1,1,0
2019-12-23,0,0.5444444444444545,0.8281249999999997,0.025000000000000078,1,1,1,0,0
2019-12-24,0,-1.2344444444444334,0.9840625000000001,-0.9268749999999999,0,1,1,0,0
2019-12-26,0,-2.462222222222206,0.5253125000000001,-0.2531249999999998,1,1,1,0,1
2019-12-27,1,-2.6544444444444304,0.09187500000000012,-0.6912499999999999,1,1,1,0,0
2019-12-30,0,-1.472222222222197,0.4453125000000001,1.0593750000000002,1,1,1,0,0
2019-12-31,0,-2.397777777777719,0.09187499999999998,-0.9412499999999998,0,1,1,0,1
2020-01-02,1,-4.931111111111047,-0.649375,-0.59875,1,1,1,0,1
2020-01-03,1,-3.6955555555554787,-1.0540625,0.543125,0,1,1,0,1
2020-01-06,1,-0.877777777777712,0.27312499999999984,0.98375,0,1,1,1,1
2020-01-07,1,0.12111111111117781,-0.15000000000000013,1.5875,1,1,1,1,0
2020-01-08,0,6.5722222222222575,1.2525,3.3925,0,1,1,1,1
2020-01-09,1,6.877777777777788,3.1540624999999998,0.026874999999999982,1,1,1,1,0
2020-01-10,0,8.655555555555566,2.83875,-0.3562500000000005,1,1,1,0,0
2020-01-13,0,6.64888888888888,3.84625,0.45124999999999993,1,1,1,1,1
2020-01-14,1,7.632222222222203,5.059687499999999,1.0368750000000002,0,1,1,0,0
2020-01-15,0,10.0633333333333,6.253125,0.07374999999999969,1,1,1,0,1
2020-01-16,1,8.617777777777722,4.796875,-1.855,1,1,1,0,1
2020-01-17,1,7.052222222222174,5.084375,-0.45875000000000044,1,1,1,1,1
2020-01-21,1,6.0733333333332915,4.5678125000000005,-2.591875,0,1,1,1,1
2020-01-22,1,2.8288888888888675,4.5778125,1.3956250000000003,1,1,1,1,0
2020-01-23,0,3.7844444444444383,5.0434375,-0.43562500000000026,1,1,1,0,0
2020-01-24,0,2.031111111111108,4.130625,-0.2137500000000001,1,1,1,1,0
2020-01-27,0,1.9511111111111303,3.5565625,-0.14687499999999987,0,1,1,1,1
2020-01-28,1,-0.9533333333333,2.6159375000000002,-1.964375,1,1,1,1,1
2020-01-29,1,-1.463333333333291,-0.2287499999999998,0.5999999999999999,1,1,1,0,0
2020-01-30,0,0.5555555555556061,0.6256250000000003,0.1612499999999999,0,1,1,0,1
